Time (s),X (m),Y (m),Velocity (m/s),Phase
0.000,1.0210,0.3000,0.0000,Traveling to Crop Plot
0.050,1.0204,0.3005,0.0300,Traveling to Crop Plot
0.100,1.0187,0.3019,0.0600,Traveling to Crop Plot
0.150,1.0158,0.3043,0.0900,Traveling to Crop Plot
0.200,1.0118,0.3077,0.1200,Traveling to Crop Plot
0.250,1.0066,0.3120,0.1500,Traveling to Crop Plot
0.300,1.0003,0.3173,0.1800,Traveling to Crop Plot
0.350,0.9928,0.3235,0.2100,Traveling to Crop Plot
0.400,0.9841,0.3307,0.2400,Traveling to Crop Plot
0.450,0.9743,0.3389,0.2700,Traveling to Crop Plot
0.500,0.9634,0.3480,0.3000,Traveling to Crop Plot
0.550,0.9513,0.3581,0.3300,Traveling to Crop Plot
0.583,0.9426,0.3654,0.3500,Traveling to Crop Plot
0.633,0.9292,0.3766,0.3500,Traveling to Crop Plot
0.683,0.9157,0.3878,0.3500,Traveling to Crop Plot
0.733,0.9023,0.3990,0.3500,Traveling to Crop Plot
0.783,0.8888,0.4102,0.3500,Traveling to Crop Plot
0.833,0.8754,0.4214,0.3500,Traveling to Crop Plot
0.883,0.8620,0.4326,0.3500,Traveling to Crop Plot
0.933,0.8485,0.4438,0.3500,Traveling to Crop Plot
0.983,0.8351,0.4550,0.3500,Traveling to Crop Plot
1.033,0.8216,0.4663,0.3500,Traveling to Crop Plot
1.083,0.8082,0.4775,0.3500,Traveling to Crop Plot
1.133,0.7948,0.4887,0.3500,Traveling to Crop Plot
1.183,0.7813,0.4999,0.3500,Traveling to Crop Plot
1.233,0.7679,0.5111,0.3500,Traveling to Crop Plot
1.283,0.7544,0.5223,0.3500,Traveling to Crop Plot
1.333,0.7410,0.5335,0.3500,Traveling to Crop Plot
1.383,0.7276,0.5447,0.3500,Traveling to Crop Plot
1.433,0.7141,0.5559,0.3500,Traveling to Crop Plot
1.483,0.7007,0.5671,0.3500,Traveling to Crop Plot
1.533,0.6873,0.5783,0.3500,Traveling to Crop Plot
1.583,0.6738,0.5895,0.3500,Traveling to Crop Plot
1.633,0.6604,0.6008,0.3500,Traveling to Crop Plot
1.683,0.6469,0.6120,0.3500,Traveling to Crop Plot
1.733,0.6335,0.6232,0.3500,Traveling to Crop Plot
1.783,0.6201,0.6344,0.3500,Traveling to Crop Plot
1.833,0.6066,0.6456,0.3500,Traveling to Crop Plot
1.883,0.5932,0.6568,0.3500,Traveling to Crop Plot
1.933,0.5797,0.6680,0.3500,Traveling to Crop Plot
1.983,0.5663,0.6792,0.3500,Traveling to Crop Plot
2.033,0.5529,0.6904,0.3500,Traveling to Crop Plot
2.083,0.5394,0.7016,0.3500,Traveling to Crop Plot
2.133,0.5260,0.7128,0.3500,Traveling to Crop Plot
2.183,0.5125,0.7240,0.3500,Traveling to Crop Plot
2.233,0.4991,0.7353,0.3500,Traveling to Crop Plot
2.283,0.4857,0.7465,0.3500,Traveling to Crop Plot
2.333,0.4722,0.7577,0.3500,Traveling to Crop Plot
2.383,0.4588,0.7689,0.3500,Traveling to Crop Plot
2.433,0.4453,0.7801,0.3500,Traveling to Crop Plot
2.483,0.4319,0.7913,0.3500,Traveling to Crop Plot
2.533,0.4185,0.8025,0.3500,Traveling to Crop Plot
2.583,0.4050,0.8137,0.3500,Traveling to Crop Plot
2.633,0.3916,0.8249,0.3500,Traveling to Crop Plot
2.683,0.3781,0.8361,0.3500,Traveling to Crop Plot
2.733,0.3647,0.8473,0.3500,Traveling to Crop Plot
2.783,0.3513,0.8586,0.3500,Traveling to Crop Plot
2.833,0.3378,0.8698,0.3500,Traveling to Crop Plot
2.868,0.3284,0.8776,0.3500,Traveling to Crop Plot
2.918,0.3155,0.8883,0.3200,Traveling to Crop Plot
2.968,0.3038,0.8981,0.2900,Traveling to Crop Plot
3.018,0.2933,0.9069,0.2600,Traveling to Crop Plot
3.068,0.2839,0.9148,0.2300,Traveling to Crop Plot
