Time (s),X (m),Y (m),Velocity (m/s),Phase
0.000,1.0210,0.3000,0.0000,Traveling to Crop Plot
0.050,1.0203,0.3004,0.0300,Traveling to Crop Plot
0.100,1.0184,0.3015,0.0600,Traveling to Crop Plot
0.150,1.0151,0.3033,0.0900,Traveling to Crop Plot
0.200,1.0105,0.3058,0.1200,Traveling to Crop Plot
0.250,1.0046,0.3091,0.1500,Traveling to Crop Plot
0.300,0.9974,0.3131,0.1800,Traveling to Crop Plot
0.350,0.9889,0.3178,0.2100,Traveling to Crop Plot
0.400,0.9790,0.3233,0.2400,Traveling to Crop Plot
0.450,0.9679,0.3294,0.2700,Traveling to Crop Plot
0.500,0.9554,0.3363,0.3000,Traveling to Crop Plot
0.550,0.9416,0.3440,0.3300,Traveling to Crop Plot
0.583,0.9317,0.3495,0.3500,Traveling to Crop Plot
0.633,0.9164,0.3579,0.3500,Traveling to Crop Plot
0.683,0.9011,0.3664,0.3500,Traveling to Crop Plot
0.733,0.8858,0.3749,0.3500,Traveling to Crop Plot
0.783,0.8705,0.3834,0.3500,Traveling to Crop Plot
0.833,0.8551,0.3918,0.3500,Traveling to Crop Plot
0.883,0.8398,0.4003,0.3500,Traveling to Crop Plot
0.933,0.8245,0.4088,0.3500,Traveling to Crop Plot
0.983,0.8092,0.4173,0.3500,Traveling to Crop Plot
1.033,0.7939,0.4258,0.3500,Traveling to Crop Plot
1.083,0.7786,0.4342,0.3500,Traveling to Crop Plot
1.133,0.7633,0.4427,0.3500,Traveling to Crop Plot
1.183,0.7480,0.4512,0.3500,Traveling to Crop Plot
1.233,0.7327,0.4597,0.3500,Traveling to Crop Plot
1.283,0.7174,0.4681,0.3500,Traveling to Crop Plot
1.333,0.7021,0.4766,0.3500,Traveling to Crop Plot
1.383,0.6867,0.4851,0.3500,Traveling to Crop Plot
1.433,0.6714,0.4936,0.3500,Traveling to Crop Plot
1.483,0.6561,0.5020,0.3500,Traveling to Crop Plot
1.533,0.6408,0.5105,0.3500,Traveling to Crop Plot
1.583,0.6255,0.5190,0.3500,Traveling to Crop Plot
1.633,0.6102,0.5275,0.3500,Traveling to Crop Plot
1.683,0.5949,0.5360,0.3500,Traveling to Crop Plot
1.733,0.5796,0.5444,0.3500,Traveling to Crop Plot
1.783,0.5643,0.5529,0.3500,Traveling to Crop Plot
1.833,0.5490,0.5614,0.3500,Traveling to Crop Plot
1.883,0.5336,0.5699,0.3500,Traveling to Crop Plot
1.933,0.5183,0.5783,0.3500,Traveling to Crop Plot
1.983,0.5030,0.5868,0.3500,Traveling to Crop Plot
2.033,0.4877,0.5953,0.3500,Traveling to Crop Plot
2.083,0.4724,0.6038,0.3500,Traveling to Crop Plot
2.133,0.4571,0.6123,0.3500,Traveling to Crop Plot
2.183,0.4418,0.6207,0.3500,Traveling to Crop Plot
2.233,0.4265,0.6292,0.3500,Traveling to Crop Plot
2.283,0.4112,0.6377,0.3500,Traveling to Crop Plot
2.333,0.3959,0.6462,0.3500,Traveling to Crop Plot
2.383,0.3806,0.6546,0.3500,Traveling to Crop Plot
2.433,0.3652,0.6631,0.3500,Traveling to Crop Plot
2.483,0.3499,0.6716,0.3500,Traveling to Crop Plot
2.533,0.3346,0.6801,0.3500,Traveling to Crop Plot
2.583,0.3193,0.6886,0.3500,Traveling to Crop Plot
